protein_uniprot,ensembl,gene_name
Q6ZMQ8,ENSG00000181409,AATK
P27216,ENSG00000104537,ANXA13
C9J3V5,ENSG00000226174,TEX22
Q8WXF7,ENSG00000198513,ATL1
Q9Y3C6,ENSG00000137168,PPIL1
Q9BXY4,ENSG00000146374,RSPO3
Q8IYK4,ENSG00000198756,COLGALT2
Q13753,ENSG00000058085,LAMC2
P21583,ENSG00000049130,KITLG
Q9HD40,ENSG00000109618,SEPSECS
Q14677,ENSG00000113282,CLINT1
Q9P2M1,ENSG00000109771,LRP2BP
Q93096,ENSG00000112245,PTP4A1
Q9C0K7,ENSG00000082146,STRADB
Q03519,ENSG00000225967,TAP2
P43220,ENSG00000112164,GLP1R
Q6YI46,ENSG00000180694,TMEM64
Q9HAU4,ENSG00000108854,SMURF2
P48539,ENSG00000183036,PCP4
Q96CD2,ENSG00000138621,PPCDC
Q9NUJ7,ENSG00000182378,PLCXD1
P35900,ENSG00000171431,KRT20
Q5SQH8,ENSG00000224120,C6orf136
P51686,ENSG00000173585,CCR9
P55344,ENSG00000105370,LIM2
Q96HR8,ENSG00000145414,NAF1
Q96FE7,ENSG00000100100,PIK3IP1
Q96M11,ENSG00000198331,HYLS1
Q9BT40,ENSG00000132376,INPP5K
Q8TDR2,ENSG00000125834,STK35
Q9P016,ENSG00000151500,THYN1
Q6NY19,ENSG00000186994,KANK3
P0C7V8,ENSG00000189186,DCAF8L2
O00421,ENSG00000121797,CCRL2
Q5TYX0,ENSG00000276420,PRAMEF5
Q8N1D5,ENSG00000157330,C1orf158
Q8N9R8,ENSG00000173611,SCAI
Q86TL2,ENSG00000213533,TMEM110
O75460,ENSG00000178607,ERN1
Q03013,ENSG00000168765,GSTM4
P50990,ENSG00000156261,CCT8
P0DMV9,ENSG00000232804,HSPA1B
Q9UGF7,ENSG00000242022,OR12D3
A8MPY1,ENSG00000183185,GABRR3
Q9UQK1,ENSG00000119938,PPP1R3C
P57103,ENSG00000100678,SLC8A3
Q96KK4,ENSG00000229412,OR10C1
Q5VU69,ENSG00000163263,C1orf189
O60245,ENSG00000169851,PCDH7
O15218,ENSG00000166856,GPR182
A1A4G5,ENSG00000206535,LNP1
Q6UX53,ENSG00000170439,METTL7B
Q9H160,ENSG00000168556,ING2
Q9NU63,ENSG00000234669,ZFP57
Q8NB46,ENSG00000139645,ANKRD52
Q8WWY3,ENSG00000277953,PRPF31
P0DI80,ENSG00000259120,SMIM6
P50213,ENSG00000166411,IDH3A
A8MVS5,ENSG00000214212,C19orf38
Q9ULW6,ENSG00000186462,NAP1L2
Q5H9J9,ENSG00000215029,TCP11X2
Q8NGK9,ENSG00000205029,OR5D16
O95741,ENSG00000100884,CPNE6
Q96KR7,ENSG00000087495,PHACTR3
Q9NS75,ENSG00000152207,CYSLTR2
P16402,ENSG00000124575,HIST1H1D
A6NCI4,ENSG00000175267,VWA3A
Q6UWX4,ENSG00000143512,HHIPL2
P55056,ENSG00000267467,APOC4
Q16513,ENSG00000065243,PKN2
Q08629,ENSG00000152377,SPOCK1
P59817,ENSG00000169548,ZNF280A
P07359,ENSG00000185245,GP1BA
Q06190,ENSG00000073711,PPP2R3A
Q96DU3,ENSG00000162739,SLAMF6
Q96IK5,ENSG00000087338,GMCL1
P0C1Z6,ENSG00000273833,TFPT
Q6IV72,ENSG00000204947,ZNF425
Q9NUT2,ENSG00000197150,ABCB8
O14772,ENSG00000254685,FPGT
O43345,ENSG00000160321,ZNF208
Q13315,ENSG00000149311,ATM
P41134,ENSG00000125968,ID1
Q8IUC1,ENSG00000182591,KRTAP11-1
Q14BN4,ENSG00000163681,SLMAP
P0CE71,ENSG00000135175,OCM2
P58557,ENSG00000182362,YBEY
Q9BY67,ENSG00000182985,CADM1
Q96N66,ENSG00000277733,MBOAT7
Q8N139,ENSG00000154262,ABCA6
Q6PJW8,ENSG00000162852,CNST
Q8IYP2,ENSG00000276785,PRSS58
Q9NX02,ENSG00000275082,NLRP2
Q496Y0,ENSG00000175556,LONRF3
Q3SYF9,ENSG00000244362,KRTAP19-7
Q12889,ENSG00000085465,OVGP1
Q9P2D1,ENSG00000171316,CHD7
Q9Y2E5,ENSG00000013288,MAN2B2
Q9H6F2,ENSG00000072954,TMEM38A
Q96MF4,ENSG00000163081,CCDC140
Q5MJ07,ENSG00000204363,SPANXN5
Q96IZ2,ENSG00000111863,ADTRP
P35609,ENSG00000077522,ACTN2
Q1ZZU3,ENSG00000175854,SWI5
Q08188,ENSG00000125780,TGM3
Q14112,ENSG00000087303,NID2
P49711,ENSG00000102974,CTCF
Q14165,ENSG00000110917,MLEC
P38435,ENSG00000115486,GGCX
C9JH25,ENSG00000224940,PRRT4
Q9NW81,ENSG00000105341,ATP5SL
O94956,ENSG00000137491,SLCO2B1
Q96GZ6,ENSG00000114544,SLC41A3
P0C0S8,ENSG00000276903,HIST1H2AL
Q1L5Z9,ENSG00000170500,LONRF2
Q8TDU6,ENSG00000179921,GPBAR1
Q8TE49,ENSG00000169918,OTUD7A
Q9HAI6,ENSG00000120280,CXorf21
Q99218,ENSG00000099721,AMELY
P28161,ENSG00000213366,GSTM2
A6NL26,ENSG00000198283,OR5B21
Q9P2G4,ENSG00000212916,MAP10
Q8TCS8,ENSG00000138035,PNPT1
Q9BWQ8,ENSG00000135472,FAIM2
Q96P44,ENSG00000124749,COL21A1
P63267,ENSG00000163017,ACTG2
Q86W28,ENSG00000179709,NLRP8
Q9Y2H0,ENSG00000080845,DLGAP4
Q9UGL9,ENSG00000169509,CRCT1
Q86WQ0,ENSG00000184162,NR2C2AP
P35613,ENSG00000172270,BSG
P25490,ENSG00000100811,YY1
O43167,ENSG00000112365,ZBTB24
Q9Y6X0,ENSG00000152217,SETBP1
Q96K76,ENSG00000170242,USP47
Q13094,ENSG00000043462,LCP2
O95389,ENSG00000112761,WISP3
Q96BZ8,ENSG00000278426,LENG1
P08172,ENSG00000181072,CHRM2
P0C0L4,ENSG00000206340,C4A
O95954,ENSG00000160282,FTCD
Q9NVS9,ENSG00000108439,PNPO
Q9Y5P4,ENSG00000113163,COL4A3BP
P0C7P2,ENSG00000205853,RFPL3S
Q6ZRI8,ENSG00000147256,ARHGAP36
Q99706,ENSG00000189013,KIR2DL4
P04000,ENSG00000102076,OPN1LW
Q04695,ENSG00000128422,KRT17
O15258,ENSG00000157916,RER1
Q9Y3Q7,ENSG00000278548,ADAM18
Q9BR61,ENSG00000230124,ACBD6
Q9H672,ENSG00000183475,ASB7
O75907,ENSG00000185000,DGAT1
Q15678,ENSG00000152104,PTPN14
Q3LI70,ENSG00000186925,KRTAP19-6
Q96BF3,ENSG00000167664,TMIGD2
Q9Y6X2,ENSG00000131788,PIAS3
O75052,ENSG00000198929,NOS1AP
Q96P53,ENSG00000139668,WDFY2
Q8IY57,ENSG00000015153,YAF2
Q9ULQ1,ENSG00000186815,TPCN1
P53992,ENSG00000176986,SEC24C
P49765,ENSG00000173511,VEGFB
Q99944,ENSG00000240592,EGFL8
Q9Y619,ENSG00000102743,SLC25A15
Q9P2D3,ENSG00000008869,HEATR5B
Q5SRR4,ENSG00000206404,LY6G5C
C9J3I9,ENSG00000234511,C5orf58
Q5JSZ5,ENSG00000130723,PRRC2B
P43628,ENSG00000278327,KIR2DL3
Q5JX71,ENSG00000124103,FAM209A
Q9H400,ENSG00000203896,LIME1
Q8WXD5,ENSG00000152147,GEMIN6
P19320,ENSG00000162692,VCAM1
Q9BSY9,ENSG00000121644,DESI2
P0C0S8,ENSG00000275221,HIST1H2AK
Q9BQ67,ENSG00000105447,GRWD1
Q9BYR8,ENSG00000212901,KRTAP3-1
P38570,ENSG00000083457,ITGAE
Q7Z3Y7,ENSG00000173908,KRT28
Q9NZQ8,ENSG00000070985,TRPM5
Q6X4T0,ENSG00000177627,C12orf54
P20036,ENSG00000231389,HLA-DPA1
Q9UNK9,ENSG00000013523,ANGEL1
P34995,ENSG00000160951,PTGER1
Q6PI26,ENSG00000144736,SHQ1
P31249,ENSG00000128652,HOXD3
Q96F10,ENSG00000141504,SAT2
O95867,ENSG00000228859,LY6G6C
P62854,ENSG00000197728,RPS26
P46783,ENSG00000124614,RPS10
O14757,ENSG00000149554,CHEK1
Q9H4I9,ENSG00000272901,SMDT1
O14522,ENSG00000196090,PTPRT
Q5TYW1,ENSG00000274349,ZNF658
P01137,ENSG00000105329,TGFB1
Q8N8U2,ENSG00000166446,CDYL2
Q12912,ENSG00000118308,LRMP
P01742,ENSG00000211973,IGHV1-69
Q96BR6,ENSG00000188295,ZNF669
O76002,ENSG00000232945,OR2J2
P59894,ENSG00000170959,DCDC1
Q0VAM2,ENSG00000138670,RASGEF1B
Q9NXC2,ENSG00000145990,GFOD1
Q92506,ENSG00000228712,HSD17B8
Q9H6R6,ENSG00000023041,ZDHHC6
P05230,ENSG00000113578,FGF1
O14960,ENSG00000145826,LECT2
Q96GL9,ENSG00000143340,FAM163A
O95479,ENSG00000049239,H6PD
P28356,ENSG00000128709,HOXD9
Q9UPQ3,ENSG00000157985,AGAP1
P43361,ENSG00000156009,MAGEA8
Q8WWY8,ENSG00000163898,LIPH
Q86V20,ENSG00000122376,FAM35A
Q96EL1,ENSG00000185614,FAM212A
Q16534,ENSG00000108924,HLF
Q8NA19,ENSG00000154655,L3MBTL4
Q96N06,ENSG00000167523,SPATA33
Q969S0,ENSG00000205060,SLC35B4
Q9H0R4,ENSG00000167220,HDHD2
P54284,ENSG00000167535,CACNB3
P52655,ENSG00000165417,GTF2A1
Q9H106,ENSG00000125900,SIRPD
O15078,ENSG00000198707,CEP290
P29558,ENSG00000153250,RBMS1
O60504,ENSG00000120896,SORBS3
P68431,ENSG00000197153,HIST1H3J
Q8TC21,ENSG00000172748,ZNF596
Q15746,ENSG00000065534,MYLK
Q96GR2,ENSG00000103740,ACSBG1
Q96F05,ENSG00000171067,C11orf24
Q8N5L8,ENSG00000164967,RPP25L
Q8NGP2,ENSG00000172487,OR8J1
Q0PNE2,ENSG00000163832,ELP6
P49441,ENSG00000151689,INPP1
A6NEM1,ENSG00000197978,GOLGA6L9
P02774,ENSG00000145321,GC
P26583,ENSG00000164104,HMGB2
Q9Y371,ENSG00000097033,SH3GLB1
O14936,ENSG00000147044,CASK
Q13751,ENSG00000196878,LAMB3
Q96B26,ENSG00000120699,EXOSC8
P25789,ENSG00000041357,PSMA4
Q12955,ENSG00000151150,ANK3
P27986,ENSG00000145675,PIK3R1
P68431,ENSG00000275379,HIST1H3I
Q8TCE9,ENSG00000006659,LGALS14
O14645,ENSG00000163879,DNALI1
Q9NTX7,ENSG00000118518,RNF146
P62805,ENSG00000275126,HIST1H4L
P01375,ENSG00000230108,TNF
Q9HB07,ENSG00000139637,C12orf10
Q14397,ENSG00000084734,GCKR
Q99878,ENSG00000276368,HIST1H2AJ
Q9BVC3,ENSG00000136982,DSCC1
O14581,ENSG00000185385,OR7A17
P54840,ENSG00000111713,GYS2
Q99607,ENSG00000102034,ELF4
P13693,ENSG00000133112,TPT1
O15347,ENSG00000029993,HMGB3
Q6S545,ENSG00000198062,POTEH
A6NFU0,ENSG00000214447,FAM187A
Q70EL2,ENSG00000123552,USP45
Q9Y225,ENSG00000101236,RNF24
Q6P1Q9,ENSG00000165055,METTL2B
Q96FZ2,ENSG00000183624,HMCES
Q96A57,ENSG00000089063,TMEM230
P04234,ENSG00000167286,CD3D
Q8NI27,ENSG00000125676,THOC2
Q9BTM9,ENSG00000167118,URM1
Q5BJH7,ENSG00000167645,YIF1B
Q6IQ21,ENSG00000198146,ZNF770
Q9H0N5,ENSG00000132570,PCBD2
Q01101,ENSG00000173404,INSM1
Q9HCN6,ENSG00000088053,GP6
Q8N4G2,ENSG00000179674,ARL14
P0CJ70,ENSG00000256222,MTRNR2L3
Q96AG3,ENSG00000164209,SLC25A46
Q86X19,ENSG00000186889,TMEM17
Q9NYW1,ENSG00000273086,TAS2R9
Q9Y3N9,ENSG00000228652,OR2W1
Q5VUM1,ENSG00000154079,SDHAF4
Q6PGQ7,ENSG00000136122,BORA
Q9ULW0,ENSG00000088325,TPX2
Q9NZJ6,ENSG00000132423,COQ3
Q96F83,ENSG00000140104,C14orf79
P07204,ENSG00000178726,THBD
P09493,ENSG00000140416,TPM1
Q8WUB8,ENSG00000130024,PHF10
P15814,ENSG00000128322,IGLL1
Q8WX94,ENSG00000277786,NLRP7
P61165,ENSG00000134825,TMEM258
Q9BYQ2,ENSG00000262896,KRTAP9-4
Q9BZG9,ENSG00000180155,LYNX1
Q5T7P3,ENSG00000196734,LCE1B
O95503,ENSG00000183741,CBX6
Q96A84,ENSG00000186998,EMID1
O75695,ENSG00000102218,RP2
Q9NYZ2,ENSG00000147454,SLC25A37
P07858,ENSG00000164733,CTSB
Q8WW12,ENSG00000081154,PCNP
O76082,ENSG00000197375,SLC22A5
Q8NBN7,ENSG00000278284,RDH13
Q8N884,ENSG00000164430,MB21D1
P50895,ENSG00000187244,BCAM
Q9NVI7,ENSG00000197785,ATAD3A
O75896,ENSG00000114383,TUSC2
Q9BXL5,ENSG00000136929,HEMGN
O95866,ENSG00000224393,C6orf25
P21917,ENSG00000069696,DRD4
Q9Y5A6,ENSG00000166529,ZSCAN21
Q9H3H5,ENSG00000172269,DPAGT1
Q99496,ENSG00000121481,RNF2
Q9BYP9,ENSG00000262594,KRTAP9-9
Q8WW32,ENSG00000176256,HMGB4
Q8N5V2,ENSG00000066248,NGEF
Q9NXD2,ENSG00000277086,MTMR10
Q8TAY7,ENSG00000197245,FAM110D
Q06945,ENSG00000124766,SOX4
P01222,ENSG00000134200,TSHB
Q86UW8,ENSG00000187664,HAPLN4
Q9UKJ5,ENSG00000109220,CHIC2
Q92562,ENSG00000112367,FIG4
Q9P2Z0,ENSG00000129028,THAP10
O15164,ENSG00000122779,TRIM24
P53420,ENSG00000081052,COL4A4
Q3ZCM7,ENSG00000261456,TUBB8
Q8IWF2,ENSG00000100350,FOXRED2
Q13011,ENSG00000104823,ECH1
Q96GC5,ENSG00000175581,MRPL48
Q8N0T1,ENSG00000176731,C8orf59
Q99877,ENSG00000233822,HIST1H2BN
O60711,ENSG00000110031,LPXN
Q8N3Z6,ENSG00000147905,ZCCHC7
P57764,ENSG00000278718,GSDMD
Q99805,ENSG00000125304,TM9SF2
Q9UNK4,ENSG00000117215,PLA2G2D
Q96CN7,ENSG00000066583,ISOC1
Q9Y487,ENSG00000185344,ATP6V0A2
P35790,ENSG00000110721,CHKA
Q13508,ENSG00000156219,ART3
Q9UIF9,ENSG00000076108,BAZ2A
Q68DK2,ENSG00000072121,ZFYVE26
O60224,ENSG00000268009,SSX4
P62888,ENSG00000156482,RPL30
P61812,ENSG00000092969,TGFB2
Q6UX27,ENSG00000276363,VSTM1
P27797,ENSG00000179218,CALR
P57735,ENSG00000132698,RAB25
P18887,ENSG00000073050,XRCC1
Q66K14,ENSG00000197226,TBC1D9B
P13535,ENSG00000133020,MYH8
Q14943,ENSG00000275608,KIR3DS1
Q96KP1,ENSG00000112685,EXOC2
Q9P2N2,ENSG00000088756,ARHGAP28
Q9UM11,ENSG00000105325,FZR1
Q96N66,ENSG00000274194,MBOAT7
P37275,ENSG00000148516,ZEB1
O76096,ENSG00000077984,CST7
Q8WZA9,ENSG00000167378,IRGQ
Q5T011,ENSG00000198198,SZT2
Q13454,ENSG00000104723,TUSC3
O43543,ENSG00000196584,XRCC2
Q86VF7,ENSG00000197893,NRAP
Q03395,ENSG00000149489,ROM1
C9J6K1,ENSG00000235034,C19orf81
O15320,ENSG00000150527,CTAGE5
Q9BTP7,ENSG00000131944,FAAP24
Q8IYW5,ENSG00000163961,RNF168
Q8IZK6,ENSG00000153898,MCOLN2
P54315,ENSG00000187021,PNLIPRP1
Q96T76,ENSG00000155229,MMS19
Q8TDE3,ENSG00000173431,RNASE8
P33527,ENSG00000278183,ABCC1
O00241,ENSG00000101307,SIRPB1
Q7Z465,ENSG00000163141,BNIPL
Q1A5X6,ENSG00000214216,IQCJ
O95858,ENSG00000099282,TSPAN15
O43852,ENSG00000128595,CALU
Q8WV83,ENSG00000115084,SLC35F5
Q8NBT0,ENSG00000164087,POC1A
Q8N4L8,ENSG00000159214,CCDC24
P52907,ENSG00000116489,CAPZA1
Q8WVD3,ENSG00000134758,RNF138
Q9NS91,ENSG00000070950,RAD18
Q9H310,ENSG00000132677,RHBG
Q9Y2G0,ENSG00000084710,EFR3B
Q9HA64,ENSG00000141560,FN3KRP
B1AJZ9,ENSG00000142621,FHAD1
Q96G27,ENSG00000239779,WBP1
O95747,ENSG00000172939,OXSR1
Q99075,ENSG00000113070,HBEGF
Q9BWV3,ENSG00000102543,CDADC1
Q99570,ENSG00000196455,PIK3R4
Q13459,ENSG00000099331,MYO9B
Q99436,ENSG00000136930,PSMB7
Q13216,ENSG00000049167,ERCC8
O14662,ENSG00000124222,STX16
Q86UT6,ENSG00000160703,NLRX1
Q5TFQ8,ENSG00000101307,SIRPB1
Q8N5I9,ENSG00000151131,C12orf45
Q96JA1,ENSG00000144749,LRIG1
Q9UP52,ENSG00000106327,TFR2
Q96EL3,ENSG00000204822,MRPL53
Q8WYQ3,ENSG00000273607,CHCHD10
Q6P1L6,ENSG00000088876,ZNF343
Q86V87,ENSG00000158863,FAM160B2
P53804,ENSG00000182670,TTC3
Q8NFY9,ENSG00000163376,KBTBD8
Q9NRA8,ENSG00000184708,EIF4ENIF1
Q96MN2,ENSG00000160505,NLRP4
P00441,ENSG00000142168,SOD1
Q9BXS5,ENSG00000072958,AP1M1
A0A075B759,ENSG00000271567,PPIAL4E
O75602,ENSG00000077327,SPAG6
Q6NXE6,ENSG00000105676,ARMC6
Q14687,ENSG00000131149,GSE1
Q9ULE4,ENSG00000047662,FAM184B
P01766,ENSG00000282286,IGHV3-13
Q96M93,ENSG00000164113,ADAD1
P53990,ENSG00000182149,IST1
A2RU14,ENSG00000150433,TMEM218
A6NHR9,ENSG00000101596,SMCHD1
Q9NPI1,ENSG00000166164,BRD7
P01308,ENSG00000254647,INS
Q9NQZ3,ENSG00000188120,DAZ1
Q9H9P8,ENSG00000087299,L2HGDH
Q96PL5,ENSG00000164010,ERMAP
Q2VPA4,ENSG00000197721,CR1L
P34998,ENSG00000278232,CRHR1
O14867,ENSG00000156273,BACH1
Q969I6,ENSG00000139209,SLC38A4
P57723,ENSG00000090097,PCBP4
Q8WZ92,ENSG00000276025,OR5P2
Q9Y4C4,ENSG00000147324,MFHAS1
Q8N3X1,ENSG00000109920,FNBP4
Q9NZ09,ENSG00000165006,UBAP1
P49682,ENSG00000186810,CXCR3
Q9H344,ENSG00000187918,OR51I2
P28068,ENSG00000241674,HLA-DMB
P59861,ENSG00000186146,DEFB131
Q8NGV7,ENSG00000197938,OR5H2
O60477,ENSG00000078725,BRINP1
Q49AG3,ENSG00000236287,ZBED5
Q53FE4,ENSG00000138813,C4orf17
Q9Y666,ENSG00000113504,SLC12A7
Q13018,ENSG00000153246,PLA2R1
Q9HC58,ENSG00000185052,SLC24A3
Q8N5T2,ENSG00000109680,TBC1D19
P49335,ENSG00000196767,POU3F4
Q8NGS1,ENSG00000239590,OR1J4
P78358,ENSG00000268651,CTAG1A
Q5MIZ7,ENSG00000275052,PPP4R3B
O95445,ENSG00000227567,APOM
Q8NH49,ENSG00000176567,OR4X1
Q6ZUM4,ENSG00000159314,ARHGAP27
P21452,ENSG00000075073,TACR2
Q8IUH2,ENSG00000175874,CREG2
Q86Y38,ENSG00000103489,XYLT1
Q8NGB4,ENSG00000176555,OR4S1
Q9H246,ENSG00000116667,C1orf21
Q8IX03,ENSG00000113645,WWC1
Q0VF96,ENSG00000128849,CGNL1
Q8N0S2,ENSG00000171772,SYCE1
Q13572,ENSG00000274958,ITPK1
Q0VG06,ENSG00000185504,FAAP100
Q8WU49,ENSG00000170279,C7orf33
Q16627,ENSG00000277236,CCL14
Q9HB71,ENSG00000116161,CACYBP
Q5W0B7,ENSG00000148483,TMEM236
P67870,ENSG00000224774,CSNK2B
Q6DD88,ENSG00000184743,ATL3
A8MUV8,ENSG00000214652,ZNF727
Q86YB7,ENSG00000121310,ECHDC2
P01762,ENSG00000282322,IGHV3-11
Q6ZT07,ENSG00000109436,TBC1D9
P28062,ENSG00000235715,PSMB8
Q5VUE5,ENSG00000203724,C1orf53
Q8TDH9,ENSG00000188428,BLOC1S5
Q12888,ENSG00000067369,TP53BP1
Q99558,ENSG00000006062,MAP3K14
O43825,ENSG00000162630,B3GALT2
Q9BRJ9,ENSG00000166823,MESP1
O15524,ENSG00000185338,SOCS1
A8MTJ3,ENSG00000214415,GNAT3
Q14542,ENSG00000174669,SLC29A2
Q2TAA8,ENSG00000102904,TSNAXIP1
Q6ISB3,ENSG00000083307,GRHL2
Q5T752,ENSG00000172155,LCE1D
Q16772,ENSG00000174156,GSTA3
O75326,ENSG00000138623,SEMA7A
Q8WWM1,ENSG00000171405,XAGE5
Q4FZB7,ENSG00000110066,KMT5B
Q6ZNA5,ENSG00000156869,FRRS1
Q765P7,ENSG00000132613,MTSS1L
P08571,ENSG00000170458,CD14
P28907,ENSG00000004468,CD38
Q8NG98,ENSG00000174667,OR7D4
Q99453,ENSG00000109132,PHOX2B
O94985,ENSG00000171603,CLSTN1
A0A087X1C5,ENSG00000205702,CYP2D7
Q9UM01,ENSG00000155465,SLC7A7
Q9HBI5,ENSG00000114405,C3orf14
Q3LI67,ENSG00000212938,KRTAP6-3
P0CAP2,ENSG00000255529,POLR2M
Q5F1R6,ENSG00000168724,DNAJC21
P49961,ENSG00000138185,ENTPD1
Q49AM3,ENSG00000115282,TTC31
P0DMR2,ENSG00000277730,SCGB1C2
P59537,ENSG00000255374,TAS2R43
Q6EEV4,ENSG00000255529,POLR2M
P59942,ENSG00000226923,MCCD1
Q92522,ENSG00000184897,H1FX
A6NNS2,ENSG00000184544,DHRS7C
A8MYA2,ENSG00000215113,CXorf49B
P20800,ENSG00000127129,EDN2
Q9Y2A4,ENSG00000180855,ZNF443
Q09328,ENSG00000152127,MGAT5
O15091,ENSG00000100890,KIAA0391
Q96N96,ENSG00000182957,SPATA13
Q8WTQ4,ENSG00000166152,C16orf78
Q9Y250,ENSG00000061337,LZTS1
P14550,ENSG00000117448,AKR1A1
Q9Y426,ENSG00000157617,C2CD2
Q15738,ENSG00000147383,NSDHL
Q8NG48,ENSG00000140471,LINS1
Q8NGD5,ENSG00000169484,OR4K14
Q8IVS8,ENSG00000168237,GLYCTK
Q86TI2,ENSG00000142002,DPP9
Q8IY18,ENSG00000198887,SMC5
Q9NZH8,ENSG00000136688,IL36G
Q86VX2,ENSG00000149600,COMMD7
P40425,ENSG00000232005,PBX2
Q9BYJ9,ENSG00000149658,YTHDF1
Q96RQ3,ENSG00000078070,MCCC1
Q9UHH9,ENSG00000068745,IP6K2
Q8N149,ENSG00000239998,LILRA2
P22079,ENSG00000167419,LPO
P98077,ENSG00000129946,SHC2
Q5T319,ENSG00000175170,FAM182B
Q9UQ90,ENSG00000197912,SPG7
Q14627,ENSG00000123496,IL13RA2
Q9ULM3,ENSG00000163872,YEATS2
P19438,ENSG00000067182,TNFRSF1A
Q6PIV2,ENSG00000176302,FOXR1
A5X5Y0,ENSG00000186038,HTR3E
Q9BW61,ENSG00000130311,DDA1
Q7Z5D8,ENSG00000205857,NANOGNB
Q8IU80,ENSG00000187045,TMPRSS6
Q8WW62,ENSG00000157315,TMED6
Q9C0J8,ENSG00000136709,WDR33
Q13939,ENSG00000185972,CCIN
P15309,ENSG00000014257,ACPP
P29034,ENSG00000196754,S100A2
Q9UBK2,ENSG00000109819,PPARGC1A
Q9HA38,ENSG00000172667,ZMAT3
O43516,ENSG00000115935,WIPF1
P42702,ENSG00000113594,LIFR
Q9BR76,ENSG00000172725,CORO1B
F5H4A9,ENSG00000180044,C3orf80
P51795,ENSG00000171365,CLCN5
A8MRT5,ENSG00000243716,NPIPB5
Q9Y2J4,ENSG00000114019,AMOTL2
Q3B8N2,ENSG00000170298,LGALS9B
Q9H6A9,ENSG00000197136,PCNX3
Q86YE8,ENSG00000189144,ZNF573
Q9BY41,ENSG00000147099,HDAC8
Q96JY6,ENSG00000120913,PDLIM2
O75069,ENSG00000133069,TMCC2
P35579,ENSG00000100345,MYH9
Q9NS71,ENSG00000169605,GKN1
Q2L4Q9,ENSG00000151006,PRSS53
Q8NCW5,ENSG00000163382,NAXE
Q6NVY1,ENSG00000198130,HIBCH
Q96N66,ENSG00000273592,MBOAT7
Q8N4P6,ENSG00000160838,LRRC71
Q9BUY5,ENSG00000130818,ZNF426
Q06730,ENSG00000189180,ZNF33A
Q9Y330,ENSG00000204366,ZBTB12
Q6UX15,ENSG00000204381,LAYN
A6NGB0,ENSG00000206140,TMEM191C
Q86VU5,ENSG00000165644,COMTD1
P56545,ENSG00000175029,CTBP2
P30408,ENSG00000169908,TM4SF1
P69892,ENSG00000196565,HBG2
Q6UWU4,ENSG00000198663,C6orf89
Q86XF0,ENSG00000178700,DHFR2
Q9NYW7,ENSG00000169777,TAS2R1
Q5T4D3,ENSG00000125247,TMTC4
Q5NUL3,ENSG00000186188,FFAR4
Q9UBC1,ENSG00000236196,NFKBIL1
Q8NGR8,ENSG00000171496,OR1L8
O60583,ENSG00000082258,CCNT2
Q96BA8,ENSG00000157613,CREB3L1
Q96KP6,ENSG00000050730,TNIP3
Q9BYH8,ENSG00000144802,NFKBIZ
P05181,ENSG00000130649,CYP2E1
Q08345,ENSG00000230456,DDR1
Q86UD7,ENSG00000214946,TBC1D26
Q9H9C1,ENSG00000151445,VIPAS39
O94856,ENSG00000163531,NFASC
Q9P1P5,ENSG00000146378,TAAR2
P43155,ENSG00000095321,CRAT
Q96D09,ENSG00000158301,GPRASP2
Q9UHC6,ENSG00000174469,CNTNAP2
Q9Y6J0,ENSG00000099991,CABIN1
Q9HC57,ENSG00000103175,WFDC1
Q03828,ENSG00000174279,EVX2
A1L167,ENSG00000215218,UBE2QL1
Q6HA08,ENSG00000188886,ASTL
P14735,ENSG00000119912,IDE
P04035,ENSG00000113161,HMGCR
Q8WZ60,ENSG00000172578,KLHL6
Q13127,ENSG00000084093,REST
P56748,ENSG00000156284,CLDN8
P31483,ENSG00000116001,TIA1
Q96KE9,ENSG00000184887,BTBD6
P01375,ENSG00000223952,TNF
Q9BQ24,ENSG00000100711,ZFYVE21
Q5JTC6,ENSG00000184675,AMER1
Q8TE04,ENSG00000152782,PANK1
Q8WWV6,ENSG00000162897,FCAMR
O14497,ENSG00000117713,ARID1A
Q8NGG3,ENSG00000261897,OR5T3
P04899,ENSG00000114353,GNAI2
Q96S82,ENSG00000138629,UBL7
I3L1E1,ENSG00000262874,C19orf84
P49862,ENSG00000169035,KLK7
Q9P2I0,ENSG00000165934,CPSF2
Q8N111,ENSG00000184524,CEND1
Q8NC60,ENSG00000084092,NOA1
Q9UKY1,ENSG00000165156,ZHX1
Q5TBA9,ENSG00000073910,FRY
Q567V2,ENSG00000254858,MPV17L2
Q9UNE0,ENSG00000135960,EDAR
Q8TB68,ENSG00000131188,PRR7
P33402,ENSG00000152402,GUCY1A2
Q8TB61,ENSG00000157593,SLC35B2
Q9NR63,ENSG00000003137,CYP26B1
Q29974,ENSG00000196126,HLA-DRB1
P01911,ENSG00000196126,HLA-DRB1
Q9GIY3,ENSG00000196126,HLA-DRB1
P04229,ENSG00000196126,HLA-DRB1
Q9UNE7,ENSG00000103266,STUB1
Q05209,ENSG00000127947,PTPN12
Q92504,ENSG00000227402,SLC39A7
P08754,ENSG00000065135,GNAI3
Q96PV7,ENSG00000146067,FAM193B
P62280,ENSG00000142534,RPS11
P47804,ENSG00000148604,RGR
Q5MCW4,ENSG00000196437,ZNF569
Q96EU7,ENSG00000171155,C1GALT1C1
Q9NZN8,ENSG00000111596,CNOT2
